"env","loc","year","gen","height","lodging","size","protein","oil"
"L71","Lawes",1971,"G23",0.955,2.5,6.55,42.6,16.875
"R70","RedlandBay",1970,"G45",0.56,2,16.55,36.75,24.105
"N71","Nambour",1971,"G39",0.88,1.75,7.35,40.55,19.445
"L71","Lawes",1971,"G04",0.76,1.25,11.1,36.9,20.255
"R71","RedlandBay",1971,"G53",0.61,1,13.85,39.05,22.525
"B70","Brookstead",1970,"G54",0.675,1.25,19.45,37,22.105
"L71","Lawes",1971,"G13",1.08,3.5,8.25,42.2,17.265
"B70","Brookstead",1970,"G50",0.94,1.25,15.65,34.2,25.045
"L70","Lawes",1970,"G56",0.74,2,19.4,39.8,22.585
"N71","Nambour",1971,"G16",0.75,1.5,7.7,40.5,19.365
"L70","Lawes",1970,"G54",0.71,1,21.5,40.2,22.905
"N70","Nambour",1970,"G42",1,2.25,18.15,37.75,21.91
"B70","Brookstead",1970,"G17",1.09,3,6.9,44.6,16.22
"L70","Lawes",1970,"G32",1.73,3.5,9.65,42.15,18.695
"L70","Lawes",1970,"G08",0.955,3.25,10,35.2,21.145
"R70","RedlandBay",1970,"G12",1.05,3.25,4.1,41.75,13.88
"N70","Nambour",1970,"G35",0.8,1.75,9.5,36.25,21.03
"R71","RedlandBay",1971,"G54",0.575,1,16.8,38.6,24.25
"B70","Brookstead",1970,"G32",1.155,2.5,8.55,43.6,18.415
"L71","Lawes",1971,"G39",0.94,1.75,8.25,42.15,18.335
"N70","Nambour",1970,"G27",0.76,1.25,9.65,36.75,22.74
"L71","Lawes",1971,"G56",0.47,1.25,17.85,38.5,22.88
"B70","Brookstead",1970,"G24",0.99,2.5,9.85,38.95,20.495
"R71","RedlandBay",1971,"G08",0.835,2,9,40.7,19.19
"R70","RedlandBay",1970,"G23",1.005,2.75,5.25,41.55,14.075
"N70","Nambour",1970,"G23",0.825,1.75,7.55,36.35,20.755
"N70","Nambour",1970,"G41",0.825,1.5,12.75,37.65,22.015
"N70","Nambour",1970,"G30",0.875,1.5,9.05,35.95,22.135
"B71","Brookstead",1971,"G49",1.005,2.25,21.6,37.5,22.18
"R70","RedlandBay",1970,"G44",0.61,2,16,37.2,23.815
"R70","RedlandBay",1970,"G32",0.955,2.75,6.8,43.8,16.07
"B70","Brookstead",1970,"G42",1.32,3,15.4,41.95,19.15
"R71","RedlandBay",1971,"G56",0.52,1,12.2,40.6,20.39
"R71","RedlandBay",1971,"G39",1.4,2.5,7.4,45.4,17.235
"R71","RedlandBay",1971,"G28",0.885,2.25,7.3,42.8,17.545
"B71","Brookstead",1971,"G29",1.055,3.25,9,42.95,17.05
"R71","RedlandBay",1971,"G45",0.61,1,13.3,39.3,21.665
"N71","Nambour",1971,"G58",0.365,1,20.1,40.75,22.8
"L71","Lawes",1971,"G58",0.44,1,19,37.35,22.72
"R70","RedlandBay",1970,"G22",0.98,3,5.45,45.05,13.395
"B70","Brookstead",1970,"G57",0.71,1.25,21.5,41.4,22.14
"L71","Lawes",1971,"G37",1.095,2.5,7.45,43.55,17.7
"L71","Lawes",1971,"G49",0.66,1.25,18.55,37.5,23.07
"B71","Brookstead",1971,"G03",NA,3.25,12.4,39.75,19.57
"N70","Nambour",1970,"G24",0.725,2.25,10.9,38.9,22.455
"N71","Nambour",1971,"G11",0.7,1.5,5.9,40.75,18.24
"L71","Lawes",1971,"G51",0.42,1.25,17.75,38.7,21.65
"R70","RedlandBay",1970,"G38",0.825,3,7.05,40.95,17.305
"B71","Brookstead",1971,"G27",1.065,2.25,11.3,42.7,18.78
"B70","Brookstead",1970,"G05",1.12,2,11.95,37.8,20.78
"B71","Brookstead",1971,"G54",0.67,1,20.75,38.8,23.405
"R70","RedlandBay",1970,"G34",0.99,3.5,6.05,42.7,16.265
"R71","RedlandBay",1971,"G30",0.965,2.5,5.9,48,15.97
"B70","Brookstead",1970,"G31",1.055,2.5,8.05,40.65,19.27
"B71","Brookstead",1971,"G38",0.94,2.5,9.6,42.7,18.67
"B71","Brookstead",1971,"G55",0.57,1.25,20.05,41.6,21.945
"N70","Nambour",1970,"G39",0.91,1.5,9.5,37.45,22.95
"N71","Nambour",1971,"G47",0.365,1,18.4,40.85,21.47
"L70","Lawes",1970,"G55",0.86,2,20.15,40.8,22.315
"L71","Lawes",1971,"G45",0.56,1.25,19.65,36.3,23.73
"N70","Nambour",1970,"G15",0.76,1.75,9.4,37.65,22.13
"N71","Nambour",1971,"G26",0.535,1,9.8,42.15,18.965
"L70","Lawes",1970,"G02",1.45,4.25,9.95,37.55,20.74
"R70","RedlandBay",1970,"G36",0.915,3.75,6.15,42.9,14.32
"B70","Brookstead",1970,"G22",0.89,2.5,7.9,45.8,16.96
"L71","Lawes",1971,"G15",0.675,1.75,9.05,40.7,17.85
"L70","Lawes",1970,"G29",1.13,4,9.65,39.35,19.935
"L70","Lawes",1970,"G24",1.46,3.75,10.85,40.7,21.2
"N70","Nambour",1970,"G29",0.785,2.5,10.1,37.9,21.37
"L71","Lawes",1971,"G57",0.685,1.5,19.45,38.6,22.815
"R71","RedlandBay",1971,"G39",1.4,2.5,7.4,45.4,17.235
"L71","Lawes",1971,"G40",0.905,1.75,9.25,42.25,18.73
"B70","Brookstead",1970,"G03",1.155,2.25,10.8,37.8,20.355
"L71","Lawes",1971,"G31",0.94,1.75,8,40.15,18.325
"N71","Nambour",1971,"G38",0.57,1,8.25,41.35,19.53
"N71","Nambour",1971,"G19",0.69,1.5,7.9,42.25,18.885
"B70","Brookstead",1970,"G53",0.9,1.5,18.3,38.4,23.535
"B70","Brookstead",1970,"G08",1.12,2.25,6.15,38.5,17.88
"R71","RedlandBay",1971,"G12",0.91,2.5,5.05,45.3,15.47
"B71","Brookstead",1971,"G51",NA,2,19.25,41.6,20.885
"L71","Lawes",1971,"G06",0.65,1.75,12.15,38.1,20.745
"N71","Nambour",1971,"G43",0.785,1.5,7.1,41.4,17.905
"B70","Brookstead",1970,"G02",1.13,2.75,8.9,38.6,19.835
"N71","Nambour",1971,"G15",0.725,1.5,7.95,40.85,18.865
"L71","Lawes",1971,"G22",1.07,4,7.7,44.35,15.97
"R70","RedlandBay",1970,"G41",1.04,4.25,8.8,40.9,20.81
"B71","Brookstead",1971,"G36",1.045,2.5,7.65,44.8,16.11
"L71","Lawes",1971,"G35",0.97,1.75,7.75,41.15,18.155
"N71","Nambour",1971,"G13",0.89,1.75,6.65,42.6,17.82
"N71","Nambour",1971,"G12",0.76,1.75,5.9,42.9,16.59
"R71","RedlandBay",1971,"G19",0.94,2.75,5.75,44.8,16.465
"R71","RedlandBay",1971,"G14",0.885,2,5.45,44.9,14.98
"R70","RedlandBay",1970,"G37",1.12,3.25,8.45,42.1,17.985
"B70","Brookstead",1970,"G21",0.94,3,7.3,40.8,17.59
"L70","Lawes",1970,"G44",0.875,2,16.9,40.4,20.94
"B70","Brookstead",1970,"G27",1.22,2,10.7,40.9,19.415
"R70","RedlandBay",1970,"G24",0.9,3,7.1,40.75,18.055
"N70","Nambour",1970,"G51",0.395,1,14.75,38.45,23.46
"L70","Lawes",1970,"G30",1.435,4.25,9.75,41.6,18.91
"L70","Lawes",1970,"G07",1.3,3,11.75,37.35,21.7
"R71","RedlandBay",1971,"G52",0.545,1,14.5,37.95,22.205
"R70","RedlandBay",1970,"G57",0.545,1.75,16.65,38.2,23.675
"B71","Brookstead",1971,"G42",1.045,2.25,17.1,44.65,19.2
"B71","Brookstead",1971,"G57",0.635,1.25,22.9,41.4,21.705
"B71","Brookstead",1971,"G17",0.97,3,6.85,44.95,14.985
"N71","Nambour",1971,"G06",0.57,1,11.35,37.9,21.815
"L70","Lawes",1970,"G16",1.7,4.75,9.15,39.65,20.435
"B70","Brookstead",1970,"G36",1.105,3.25,6.2,40.95,16.56
"N71","Nambour",1971,"G33",0.74,1.5,8.8,38.05,20.375
"R71","RedlandBay",1971,"G29",1.27,3,8.05,43.7,19.475
"L71","Lawes",1971,"G36",0.89,3.25,7.1,43.75,16.925
"L71","Lawes",1971,"G42",1.08,1.75,15.85,40.75,19.93
"R71","RedlandBay",1971,"G27",0.875,1.75,9.45,42.05,18.105
"R71","RedlandBay",1971,"G47",0.61,1,17.65,40.55,22.41
"R71","RedlandBay",1971,"G24",0.915,2,8.3,41.95,18.515
"R71","RedlandBay",1971,"G46",0.61,1,13.25,36.95,22.515
"B71","Brookstead",1971,"G47",0.725,1.75,20.7,39.65,23.19
"N70","Nambour",1970,"G25",0.71,1.5,11.1,36.6,24.01
"R71","RedlandBay",1971,"G04",0.965,1.75,10.5,40.4,20.36
"N70","Nambour",1970,"G26",0.61,1,10.8,37.85,21.96
"L71","Lawes",1971,"G09",0.825,2,12.25,37.1,20.325
"L71","Lawes",1971,"G43",0.915,2.75,7.55,40.7,16.925
"N70","Nambour",1970,"G31",0.8,1.5,8.05,36.8,21.985
"N70","Nambour",1970,"G56",0.41,1,20.25,39.05,23.58
"B71","Brookstead",1971,"G41",1.37,3,10.15,41.25,18.195
"R70","RedlandBay",1970,"G29",1.445,4.25,8,41.15,18.685
"N71","Nambour",1971,"G57",0.395,1,18.7,41.2,22.125
"L71","Lawes",1971,"G28",0.735,2.25,8.15,38.95,19.505
"N70","Nambour",1970,"G14",0.725,1.5,8.65,34.8,22.745
"R71","RedlandBay",1971,"G26",0.825,1.5,8.85,44.05,17.475
"R71","RedlandBay",1971,"G06",0.825,1.5,9.75,39.05,20.4
"L71","Lawes",1971,"G12",1.155,3.25,7.45,44.45,16.595
"N71","Nambour",1971,"G25",0.635,1,8.8,40.1,22.35
"B71","Brookstead",1971,"G09",0.85,2.75,11.95,39.55,18.24
"B70","Brookstead",1970,"G41",1.32,4.5,10.3,41.3,19.755
"N71","Nambour",1971,"G22",0.725,1.5,6.75,44.1,16.145
"B71","Brookstead",1971,"G11",1.08,3.25,7.4,43.35,16.485
"N71","Nambour",1971,"G10",0.57,1,11.1,38.35,19.985
"R70","RedlandBay",1970,"G14",1.105,3.75,6.55,40.05,17.32
"R70","RedlandBay",1970,"G40",0.995,3.5,6.25,43.25,17.265
"N71","Nambour",1971,"G04",0.7,1,12.1,39.4,21.81
"L71","Lawes",1971,"G55",0.405,1.5,20.55,42.05,22.905
"R71","RedlandBay",1971,"G31",NA,2.25,7.75,44.8,17.38
"B71","Brookstead",1971,"G13",1.13,2.75,8.75,46,16.65
"N70","Nambour",1970,"G18",0.835,2.25,8.75,38,20.1
"B70","Brookstead",1970,"G06",1.105,2.25,11,37.4,19.92
"B70","Brookstead",1970,"G07",1.13,2,10.25,37.85,20.29
"R71","RedlandBay",1971,"G35",1.28,2,7.9,44.8,16.49
"L70","Lawes",1970,"G46",0.81,1.75,16.5,39.6,22.03
"B71","Brookstead",1971,"G45",0.735,2.5,23.6,37.9,22.135
"N70","Nambour",1970,"G53",0.48,1,19.75,39.55,23.615
"B71","Brookstead",1971,"G15",1.12,2.75,9.45,44.15,17.53
"B70","Brookstead",1970,"G58",0.66,1,16.5,42.1,19.415
"N71","Nambour",1971,"G09",0.605,1,10.6,39.35,20.825
"N70","Nambour",1970,"G37",0.91,1.5,9.05,39.9,20.625
"B71","Brookstead",1971,"G21",1.13,3,8.4,42.7,16.735
"N71","Nambour",1971,"G28",0.75,1.5,6.85,38.45,20.005
"R70","RedlandBay",1970,"G02",NA,3.75,7.35,40.95,17.645
"N71","Nambour",1971,"G08",0.57,1,12.5,39.35,21.055
"B70","Brookstead",1970,"G09",1.04,1.75,8.3,37.9,20.05
"L70","Lawes",1970,"G41",1.385,4.5,11.3,39.9,20.97
"L71","Lawes",1971,"G05",0.76,1.75,11.9,38.7,20.89
"N71","Nambour",1971,"G50",0.34,1,16.75,43.15,22.555
"N71","Nambour",1971,"G49",0.535,1,19.9,39,23.175
"L70","Lawes",1970,"G20",1.32,4.5,8.95,41.1,18.215
"B71","Brookstead",1971,"G37",1.12,3.25,8.55,44.9,16.87
"B71","Brookstead",1971,"G18",0.98,3,7.7,48.1,14.73
"R71","RedlandBay",1971,"G17",1.045,3.25,6.1,47.75,15.99
"L71","Lawes",1971,"G03",0.955,2.25,11.4,37.4,20.93
"B70","Brookstead",1970,"G30",1.07,2.5,5.75,40.25,16.495
"B70","Brookstead",1970,"G48",0.93,1.75,16,37.9,24.095
"L71","Lawes",1971,"G24",0.84,1.75,10.25,40.55,20.21
"N70","Nambour",1970,"G11",0.65,2.25,8,37.05,22.355
"L70","Lawes",1970,"G49",1.08,3,19.7,35.5,21.825
"L70","Lawes",1970,"G34",1.475,4,8,38.35,20.135
"B70","Brookstead",1970,"G26",1.13,2.25,8.8,38.6,19.92
"L70","Lawes",1970,"G23",1.485,4.25,8.6,41.55,18.675
"L71","Lawes",1971,"G54",0.455,1,17,37.5,24.125
"R71","RedlandBay",1971,"G41",0.965,2.25,10.3,44.3,18.88
"N71","Nambour",1971,"G42",0.775,1.25,16.1,44.75,19.955
"B71","Brookstead",1971,"G14",1.13,3.5,7.55,41,18.035
"B70","Brookstead",1970,"G38",0.94,2,9.05,40.85,19.76
"R70","RedlandBay",1970,"G48",0.52,2.5,15.8,38.25,24.525
"B70","Brookstead",1970,"G15",1.025,2.75,7.8,39.25,19.115
"R70","RedlandBay",1970,"G03",0.835,2.25,8.5,39.8,19.975
"L70","Lawes",1970,"G18",1.495,4.5,7.8,42.4,17.4
"L70","Lawes",1970,"G40",1.205,4,9.25,41.2,19.625
"N71","Nambour",1971,"G14",0.775,1.75,7.7,38.4,19.35
"L71","Lawes",1971,"G10",0.785,1.75,12.05,37.85,19.505
"R70","RedlandBay",1970,"G51",0.61,2.5,18.65,38.75,23.995
"L70","Lawes",1970,"G04",1.26,3.5,10.05,38.45,21.99
"L70","Lawes",1970,"G35",1.105,3.5,9.1,40.6,19.635
"B71","Brookstead",1971,"G58",0.675,1.5,19,36.5,22.08
"L70","Lawes",1970,"G14",1.33,4,8.25,37.4,20.76
"R71","RedlandBay",1971,"G36",0.925,2.75,5.95,47.8,15.545
"B71","Brookstead",1971,"G20",1.045,2.75,8.6,47.9,15.77
"L70","Lawes",1970,"G50",0.835,2.75,17.9,39.9,24.565
"B70","Brookstead",1970,"G14",1.045,2.75,8.15,38.3,18.835
"N70","Nambour",1970,"G46",0.395,1,15.55,34.35,25.65
"L71","Lawes",1971,"G19",0.76,2.5,8.5,42.25,17.59
"L70","Lawes",1970,"G22",1.345,4.25,8.65,40.35,18.95
"B70","Brookstead",1970,"G20",1.115,3,7.7,45,17.315
"B71","Brookstead",1971,"G52",0.58,1.5,14.55,41.3,20.08
"L71","Lawes",1971,"G08",0.9,2.5,11.8,36.65,19.675
"R70","RedlandBay",1970,"G43",1.005,2.25,4.65,41.75,16.065
"R70","RedlandBay",1970,"G26",0.995,3.5,7.3,40.25,17.285
"N70","Nambour",1970,"G38",0.66,1.25,10.8,37.75,22.8
"N71","Nambour",1971,"G03",0.61,1,11.3,41.65,19.945
"L70","Lawes",1970,"G11",1.42,4.5,6.95,40.25,19.09
"R71","RedlandBay",1971,"G44",0.635,1.25,14.9,38.55,21.66
"N71","Nambour",1971,"G21",0.765,1.5,7.35,41.1,18.265
"L71","Lawes",1971,"G38",0.79,1.5,9.2,38.6,18.925
"R71","RedlandBay",1971,"G38",0.785,2,7.7,42.7,17.285
"L70","Lawes",1970,"G31",1.22,3.75,8.55,39.35,20.165
"B70","Brookstead",1970,"G18",1.04,3,5.9,44.6,15.655
"N70","Nambour",1970,"G09",0.71,1.5,10.6,34.55,23.1
"L71","Lawes",1971,"G14",0.865,2.75,7.65,38.45,18.525
"N71","Nambour",1971,"G20",0.71,1.75,7.75,42.45,18.08
"R71","RedlandBay",1971,"G34",1.08,2,6.9,45.8,16.085
"N70","Nambour",1970,"G17",0.685,2,8.45,39.6,20.23
"L70","Lawes",1970,"G45",0.785,2.75,23.25,37,23.735
"N71","Nambour",1971,"G31",0.815,1.25,7.05,40.35,18.25
"L70","Lawes",1970,"G33",1.41,4,10.7,38.3,20.825
"L70","Lawes",1970,"G36",0.915,3.5,7.95,44,17.91
"R71","RedlandBay",1971,"G50",0.505,1.5,14.45,41.5,21.82
"L71","Lawes",1971,"G30",1.015,2.5,8.8,43.55,17.035
"R71","RedlandBay",1971,"G42",0.81,2.5,14.9,43.45,19.815
"N71","Nambour",1971,"G18",0.79,2,6.7,44.55,15.76
"L71","Lawes",1971,"G01",0.97,2.5,8.35,39.4,18.665
"B70","Brookstead",1970,"G56",NA,1.5,19.85,39.25,22.205
"L70","Lawes",1970,"G39",NA,4.5,9.7,40.55,19.93
"R70","RedlandBay",1970,"G52",0.545,2.25,13.55,38.15,24.545
"L70","Lawes",1970,"G26",1.18,4,9.55,39.75,20.07
"L71","Lawes",1971,"G53",0.51,1.5,18.4,37.45,23.58
"R70","RedlandBay",1970,"G09",0.93,2.25,8.65,38.2,19.76
"N70","Nambour",1970,"G45",0.42,1,16,35.55,25.24
"B70","Brookstead",1970,"G33",1.18,2.75,9.05,39.35,19.745
"B70","Brookstead",1970,"G34",1.18,2.5,7.9,40.2,18.76
"B71","Brookstead",1971,"G31",1.02,2.5,9.4,42.05,17.675
"N71","Nambour",1971,"G52",0.355,1,16.7,40.25,22.555
"L70","Lawes",1970,"G12",1.435,4.25,8.35,40.3,18.745
