"loc","year","gen","yield"
"Brookstead",1970,"G19",0.595
"Brookstead",1970,"G20",1.387
"Brookstead",1970,"G21",1.469
"Brookstead",1970,"G22",1.865
"Brookstead",1970,"G23",1.316
"Brookstead",1970,"G24",2.153
"Brookstead",1970,"G25",1.148
"Brookstead",1970,"G26",2.023
"Brookstead",1970,"G27",2.42
"Brookstead",1970,"G28",1.706
"Brookstead",1970,"G29",0.779
"Brookstead",1970,"G30",0.424
"Brookstead",1970,"G31",1.595
"Brookstead",1970,"G32",1.71
"Brookstead",1970,"G33",2.832
"Brookstead",1970,"G34",1.704
"Brookstead",1970,"G35",1.403
"Brookstead",1970,"G36",0.814
"Brookstead",1970,"G37",1.467
"Brookstead",1970,"G38",2.137
"Brookstead",1970,"G39",2.349
"Brookstead",1970,"G40",1.77
"Brookstead",1970,"G41",2.23
"Brookstead",1970,"G42",1.215
"Brookstead",1970,"G43",0.975
"Brookstead",1970,"G44",1.352
"Brookstead",1970,"G45",2.789
"Brookstead",1970,"G46",2.269
"Brookstead",1970,"G47",2.405
"Brookstead",1970,"G48",2.729
"Brookstead",1970,"G49",2.81
"Brookstead",1970,"G50",3.16
"Brookstead",1970,"G51",0.939
"Brookstead",1970,"G52",0.466
"Brookstead",1970,"G53",2.886
"Brookstead",1970,"G54",1.037
"Brookstead",1970,"G55",2.327
"Brookstead",1970,"G56",2.523
"Brookstead",1970,"G57",2.824
"Brookstead",1970,"G58",0.617
"Nambour",1970,"G01",2.263
"Nambour",1970,"G02",2.164
"Nambour",1970,"G03",2.354
"Nambour",1970,"G04",2.125
"Nambour",1970,"G05",2.583
"Nambour",1970,"G06",2.451
"Nambour",1970,"G07",2.354
"Nambour",1970,"G08",1.967
"Nambour",1970,"G09",2.236
"Nambour",1970,"G10",1.636
"Nambour",1970,"G11",1.932
"Nambour",1970,"G12",1.951
"Nambour",1970,"G13",1.787
"Nambour",1970,"G14",2.282
"Nambour",1970,"G15",1.978
"Nambour",1970,"G16",1.938
"Nambour",1970,"G17",1.916
"Nambour",1970,"G18",1.865
"Nambour",1970,"G19",1.956
"Nambour",1970,"G20",1.9
"Nambour",1970,"G21",2.062
"Nambour",1970,"G22",1.763
"Nambour",1970,"G23",1.932
"Nambour",1970,"G24",2.403
"Nambour",1970,"G25",2.64
"Nambour",1970,"G26",1.572
"Nambour",1970,"G27",2.312
"Nambour",1970,"G28",2.077
"Nambour",1970,"G29",2.035
"Nambour",1970,"G30",1.684
"Nambour",1970,"G31",2.074
"Nambour",1970,"G32",2.115
"Nambour",1970,"G33",1.849
"Nambour",1970,"G34",1.816
"Nambour",1970,"G35",1.921
"Nambour",1970,"G36",1.569
"Nambour",1970,"G37",1.797
"Nambour",1970,"G38",1.972
"Nambour",1970,"G39",1.938
"Nambour",1970,"G40",1.407
"Nambour",1970,"G41",1.598
"Nambour",1970,"G42",1.76
"Nambour",1970,"G43",1.593
"Nambour",1970,"G44",1.02
"Nambour",1970,"G45",2.377
"Nambour",1970,"G46",1.162
"Nambour",1970,"G47",1.819
"Nambour",1970,"G48",2.25
"Nambour",1970,"G49",1.941
"Nambour",1970,"G50",1.806
"Nambour",1970,"G51",0.983
"Nambour",1970,"G52",0.71
"Nambour",1970,"G53",1.972
"Nambour",1970,"G54",1.838
"Nambour",1970,"G55",1.897
"Nambour",1970,"G56",1.916
"Nambour",1970,"G57",1.983
"Nambour",1970,"G58",0.282
"RedlandBay",1970,"G01",0.778
"RedlandBay",1970,"G02",1.087
"RedlandBay",1970,"G03",1.58
"RedlandBay",1970,"G04",1.986
"RedlandBay",1970,"G05",2.035
"RedlandBay",1970,"G06",1.353
"RedlandBay",1970,"G07",1.811
"RedlandBay",1970,"G08",1.165
"RedlandBay",1970,"G09",1.927
"RedlandBay",1970,"G10",1.517
"RedlandBay",1970,"G11",0.455
"RedlandBay",1970,"G12",0.492
"RedlandBay",1970,"G13",0.644
"RedlandBay",1970,"G14",1.022
"RedlandBay",1970,"G15",1.334
"RedlandBay",1970,"G16",0.737
"RedlandBay",1970,"G17",0.487
"RedlandBay",1970,"G18",0.667
"RedlandBay",1970,"G19",0.969
"RedlandBay",1970,"G20",0.793
"RedlandBay",1970,"G21",0.716
"RedlandBay",1970,"G22",0.557
"RedlandBay",1970,"G23",0.622
"RedlandBay",1970,"G24",1.254
"RedlandBay",1970,"G25",1.596
"RedlandBay",1970,"G26",1.556
"RedlandBay",1970,"G27",1.59
"RedlandBay",1970,"G28",0.81
"RedlandBay",1970,"G29",1.359
"RedlandBay",1970,"G30",0.928
"RedlandBay",1970,"G31",0.517
"RedlandBay",1970,"G32",1.042
"RedlandBay",1970,"G33",1.471
"RedlandBay",1970,"G34",0.987
"RedlandBay",1970,"G35",1.141
"RedlandBay",1970,"G36",0.365
"RedlandBay",1970,"G37",1.302
"RedlandBay",1970,"G38",1.114
"RedlandBay",1970,"G39",1.515
"RedlandBay",1970,"G40",1.44
"RedlandBay",1970,"G41",1.669
"RedlandBay",1970,"G42",1.222
"RedlandBay",1970,"G43",1.111
"RedlandBay",1970,"G44",3.07
"RedlandBay",1970,"G45",2.535
"RedlandBay",1970,"G46",3.394
"RedlandBay",1970,"G47",2.938
"RedlandBay",1970,"G48",3.025
"RedlandBay",1970,"G49",3.62
"RedlandBay",1970,"G50",3.084
"RedlandBay",1970,"G51",2.153
"RedlandBay",1970,"G52",2.28
"RedlandBay",1970,"G53",3.286
"RedlandBay",1970,"G54",3.227
"RedlandBay",1970,"G55",3.299
"RedlandBay",1970,"G56",4.126
"RedlandBay",1970,"G57",3.671
"RedlandBay",1970,"G58",2.667
"Lawes",1971,"G01",2.788
"Lawes",1971,"G02",2.618
"Lawes",1971,"G03",2.476
"Lawes",1971,"G04",2.917
"Lawes",1971,"G05",2.137
"Lawes",1971,"G06",2.863
"Lawes",1971,"G07",2.974
"Lawes",1971,"G08",1.649
"Lawes",1971,"G09",3.1
"Lawes",1971,"G10",3.005
"Lawes",1971,"G11",1.897
"Lawes",1971,"G12",1.644
"Lawes",1971,"G13",1.967
"Lawes",1971,"G14",2.447
"Lawes",1971,"G15",2.627
"Lawes",1971,"G16",2.255
"Lawes",1971,"G17",1.811
"Lawes",1971,"G18",1.924
"Lawes",1971,"G19",2.729
"Lawes",1971,"G20",1.938
"Lawes",1971,"G21",1.781
"Lawes",1971,"G22",1.475
"Lawes",1971,"G23",2.037
"Lawes",1971,"G24",2.914
"Lawes",1971,"G25",2.662
"Lawes",1971,"G26",3.135
"Lawes",1971,"G27",3.019
"Lawes",1971,"G28",2.774
"Lawes",1971,"G29",2.12
"Lawes",1971,"G30",2.435
"Lawes",1971,"G31",2.317
"Lawes",1971,"G32",3.009
"Lawes",1971,"G33",3.097
"Lawes",1971,"G34",2.349
"Lawes",1971,"G35",2.495
"Lawes",1971,"G36",1.513
"Lawes",1971,"G37",2.817
"Lawes",1971,"G38",2.546
"Lawes",1971,"G39",2.608
"Lawes",1971,"G40",2.428
"Lawes",1971,"G41",2.658
"Lawes",1971,"G42",2.476
"Lawes",1971,"G43",1.738
"Lawes",1971,"G44",2.772
"Lawes",1971,"G45",3.824
"Lawes",1971,"G46",2.998
"Lawes",1971,"G47",2.977
"Lawes",1971,"G48",3.571
"Lawes",1971,"G49",3.437
"Lawes",1971,"G50",3.111
"Lawes",1971,"G51",1.415
"Lawes",1971,"G52",1.862
"Lawes",1971,"G53",2.941
"Lawes",1971,"G54",1.926
"Lawes",1971,"G55",3.049
"Lawes",1971,"G56",2.804
"Lawes",1971,"G57",3.391
"Lawes",1971,"G58",1.44
"Brookstead",1971,"G01",2.559
"Brookstead",1971,"G02",2.34
"Brookstead",1971,"G03",2.874
"Brookstead",1971,"G04",3.009
"Brookstead",1971,"G05",2.537
"Brookstead",1971,"G06",1.877
"Brookstead",1971,"G07",2.557
"Brookstead",1971,"G08",1.613
"Brookstead",1971,"G09",2.24
"Brookstead",1971,"G10",2.597
"Brookstead",1971,"G11",2.212
"Brookstead",1971,"G12",1.885
"Brookstead",1971,"G13",2.008
"Brookstead",1971,"G14",2.765
"Brookstead",1971,"G15",2.353
"Brookstead",1971,"G16",2.075
"Brookstead",1971,"G17",1.671
"Brookstead",1971,"G18",1.493
"Brookstead",1971,"G19",1.62
"Brookstead",1971,"G20",1.673
"Brookstead",1971,"G21",1.853
"Brookstead",1971,"G22",2.076
"Brookstead",1971,"G23",2.367
"Brookstead",1971,"G24",2.331
"Brookstead",1971,"G25",2.271
"Brookstead",1971,"G26",2.935
"Brookstead",1971,"G27",2.755
"Brookstead",1971,"G28",2.337
"Brookstead",1971,"G29",1.77
"Brookstead",1971,"G30",1.11
"Brookstead",1971,"G31",2.285
"Brookstead",1971,"G32",2.252
"Brookstead",1971,"G33",1.865
"Brookstead",1971,"G34",2.039
"Brookstead",1971,"G35",2.688
"Brookstead",1971,"G36",1.737
"Brookstead",1971,"G37",2.625
"Brookstead",1971,"G38",2.289
"Brookstead",1971,"G39",2.545
"Brookstead",1971,"G40",2.551
"Brookstead",1971,"G41",2.196
"Brookstead",1971,"G42",2.366
"Brookstead",1971,"G43",1.645
"Brookstead",1971,"G44",3.033
"Brookstead",1971,"G45",3.752
"Brookstead",1971,"G46",3.368
"Brookstead",1971,"G47",3.449
"Brookstead",1971,"G48",3.084
"Brookstead",1971,"G49",3.896
"Brookstead",1971,"G50",3.614
"Brookstead",1971,"G51",1.75
"Brookstead",1971,"G52",2.37
"Brookstead",1971,"G53",3.824
"Brookstead",1971,"G54",2.45
"Brookstead",1971,"G55",3.475
"Brookstead",1971,"G56",3.542
"Brookstead",1971,"G57",3.585
"Brookstead",1971,"G58",2.44
"Nambour",1971,"G01",2.097
"Nambour",1971,"G02",2.6
"Nambour",1971,"G03",2.532
"Nambour",1971,"G04",3.025
"Nambour",1971,"G05",2.524
"Nambour",1971,"G06",2.855
"Nambour",1971,"G07",2.887
"Nambour",1971,"G08",2.645
"Nambour",1971,"G09",2.234
"Nambour",1971,"G10",2.667
"Nambour",1971,"G11",2.08
"Nambour",1971,"G12",1.781
"Nambour",1971,"G13",2.093
"Nambour",1971,"G14",2.567
"Nambour",1971,"G15",2.199
"Nambour",1971,"G16",2.161
"Nambour",1971,"G17",1.76
"Nambour",1971,"G18",1.515
"Nambour",1971,"G19",2.333
"Nambour",1971,"G20",2.526
"Nambour",1971,"G21",2.433
"Nambour",1971,"G22",2.155
"Nambour",1971,"G23",1.891
"Nambour",1971,"G24",2.46
"Nambour",1971,"G25",2.618
"Nambour",1971,"G26",2.153
"Nambour",1971,"G27",2.659
"Nambour",1971,"G28",1.862
"Nambour",1971,"G29",2.567
"Nambour",1971,"G30",1.284
"Nambour",1971,"G31",1.991
"Nambour",1971,"G32",2.707
"Nambour",1971,"G33",2.624
"Nambour",1971,"G34",2.333
"Nambour",1971,"G35",2.296
"Nambour",1971,"G36",2.257
"Nambour",1971,"G37",2.029
"Nambour",1971,"G38",2.377
"Nambour",1971,"G39",2.46
"Nambour",1971,"G40",2.393
"Nambour",1971,"G41",2.341
"Nambour",1971,"G42",2.583
"Nambour",1971,"G43",2.086
"Nambour",1971,"G44",2.037
"Nambour",1971,"G45",2.815
"Nambour",1971,"G46",2.255
"Nambour",1971,"G47",2.349
"Nambour",1971,"G48",2.516
"Nambour",1971,"G49",3.329
"Nambour",1971,"G50",2.891
"Nambour",1971,"G51",1.279
"Nambour",1971,"G52",1.289
"Nambour",1971,"G53",3.16
"Nambour",1971,"G54",1.751
"Nambour",1971,"G55",1.808
"Nambour",1971,"G56",2.565
"Nambour",1971,"G57",2.344
"Nambour",1971,"G58",1.334
"RedlandBay",1971,"G01",1.179
"RedlandBay",1971,"G02",1.897
"RedlandBay",1971,"G03",2.023
"RedlandBay",1971,"G04",2.166
"RedlandBay",1971,"G05",2.435
"RedlandBay",1971,"G06",2.21
"RedlandBay",1971,"G07",2.766
"RedlandBay",1971,"G08",2.347
"RedlandBay",1971,"G09",2.495
"RedlandBay",1971,"G10",2.887
"RedlandBay",1971,"G11",0.861
"RedlandBay",1971,"G12",0.991
"RedlandBay",1971,"G13",1.147
"RedlandBay",1971,"G14",0.667
"RedlandBay",1971,"G15",1.517
"RedlandBay",1971,"G16",1.442
"RedlandBay",1971,"G17",0.913
"RedlandBay",1971,"G18",1.03
"RedlandBay",1971,"G19",1.125
"RedlandBay",1971,"G20",1.144
"RedlandBay",1971,"G21",0.944
"RedlandBay",1971,"G22",1.521
"RedlandBay",1971,"G23",0.842
"RedlandBay",1971,"G24",1.523
"RedlandBay",1971,"G25",1.751
"RedlandBay",1971,"G26",2.118
"RedlandBay",1971,"G27",2.392
"RedlandBay",1971,"G28",0.928
"RedlandBay",1971,"G29",1.666
"RedlandBay",1971,"G30",1.103
"RedlandBay",1971,"G31",0.996
"RedlandBay",1971,"G32",1.846
"RedlandBay",1971,"G33",1.986
"RedlandBay",1971,"G34",1.574
"RedlandBay",1971,"G35",1.346
"RedlandBay",1971,"G36",0.976
"RedlandBay",1971,"G37",1.346
"RedlandBay",1971,"G38",1.515
"RedlandBay",1971,"G39",1.369
"RedlandBay",1971,"G40",1.203
"RedlandBay",1971,"G41",1.951
"RedlandBay",1971,"G42",2.613
"RedlandBay",1971,"G43",1.496
"RedlandBay",1971,"G44",2.707
"RedlandBay",1971,"G45",1.905
"RedlandBay",1971,"G46",1.983
"RedlandBay",1971,"G47",3.005
"RedlandBay",1971,"G48",2.812
"RedlandBay",1971,"G49",3.998
"RedlandBay",1971,"G50",2.755
"RedlandBay",1971,"G51",1.752
"RedlandBay",1971,"G52",1.919
"RedlandBay",1971,"G53",2.174
"RedlandBay",1971,"G54",2.169
"RedlandBay",1971,"G55",2.056
"RedlandBay",1971,"G56",1.916
"RedlandBay",1971,"G57",2.166
"RedlandBay",1971,"G58",2.298
